subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_113,37,0.9389,2.3621,0.1476,5.2148,0.1987,13.8144
fCMR_Siemens_027,37,1.1288,2.5753,0.119,2.0315,0.2019,5.2154
fCMR_Siemens_006,37,2.5465,2.3515,2.3506,0.9571,2.006,7.8918
fCMR_Siemens_144,37,2.4426,1.9922,0.2758,3.6701,0.3201,9.135
fCMR_Siemens_068,37,1.4556,2.0258,1.0871,5.7986,1.4635,13.419
fCMR_Siemens_198,37,2.5518,2.4928,0.2958,0.538,0.3159,3.6756
fCMR_Siemens_018,38,2.9073,2.7932,1.9628,17.6363,1.9909,40.655
fCMR_Siemens_113,38,3.0912,2.6596,0.2014,5.7093,0.2659,12.6334
fCMR_Siemens_027,38,3.0813,1.5018,0.1698,2.3616,0.2748,7.2531
fCMR_Siemens_006,38,2.5116,0.8084,0.2186,4.5952,0.2447,11.4378
fCMR_Siemens_144,38,1.3332,2.48,0.1364,2.6268,0.1547,6.8587
fCMR_Siemens_068,38,2.1982,1.8302,0.3664,3.8967,1.4516,13.9768
fCMR_Siemens_198,38,2.537,3.5928,0.2988,1.7033,0.3533,4.9986
fCMR_Siemens_018,39,2.4095,2.479,2.1304,14.6063,2.1725,35.1649
fCMR_Siemens_113,39,2.4002,2.533,0.1394,6.5973,0.2181,16.0494
fCMR_Siemens_027,39,1.4451,2.3478,0.228,1.7904,0.2716,5.7593
fCMR_Siemens_006,39,0.7235,2.4725,0.1495,5.6045,0.1985,12.4283
fCMR_Siemens_144,39,1.9074,1.1868,0.1762,1.6198,0.2074,5.6482
fCMR_Siemens_068,39,1.176,2.9138,1.2185,0.309,1.4424,3.0865
fCMR_Siemens_198,39,2.253,0.9411,0.1832,1.0659,0.2217,2.9922
fCMR_Siemens_018,40,1.9991,2.0996,1.6178,11.9186,1.9078,31.2124
fCMR_Siemens_113,40,0.9794,3.5949,0.0357,9.4757,0.2065,23.8977
fCMR_Siemens_027,40,2.8451,3.2763,0.328,3.0252,0.3616,7.5006
fCMR_Siemens_006,40,1.8275,2.1036,0.3268,3.3757,0.3513,7.8228
fCMR_Siemens_144,40,1.7933,1.8137,0.2485,1.29,0.2636,4.1774
fCMR_Siemens_068,40,2.4258,2.8762,1.2476,0.4547,1.8883,5.3564
fCMR_Siemens_198,40,1.7275,1.9008,0.2599,1.9751,0.294,6.5713
fCMR_Siemens_018,41,1.7687,2.7078,2.0417,20.6044,2.0462,44.1847
fCMR_Siemens_113,41,3.0574,2.0044,0.0436,6.8235,0.2272,16.407
fCMR_Siemens_027,41,2.6144,3.0524,0.1778,2.3282,0.201,5.5259
