subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Philips_132,12,1.1288,2.5753,0.1915,4.0097,0.2079,8.7112
fCMR_Philips_031,12,2.5465,2.3515,0.1085,0.6785,0.1469,1.7606
fCMR_Philips_104,12,2.4426,1.9922,0.082,1.6432,0.1142,4.0687
fCMR_Philips_094,12,1.4556,2.0258,0.0888,0.3678,0.1089,1.6277
fCMR_Philips_136,12,2.5518,2.4928,0.1387,0.1985,0.151,0.9778
fCMR_Philips_087,12,2.9073,2.7932,0.458,2.8163,0.465,6.0074
fCMR_Philips_003,12,3.0912,2.6596,0.1378,0.2751,0.1527,0.8316
fCMR_Philips_047,12,3.0813,1.5018,0.2011,0.7502,0.2502,2.7728
fCMR_Philips_057,12,2.5116,0.8084,0.2589,0.8272,0.2688,2.075
fCMR_Philips_097,12,1.3332,2.48,0.3949,0.782,0.4034,1.9548
fCMR_Philips_070,12,2.1982,1.8302,0.3306,0.8741,0.3395,2.6008
fCMR_Philips_068,12,2.537,3.5928,0.2358,0.6473,0.2563,1.4674
fCMR_Philips_117,13,2.4095,2.479,0.1669,1.1783,0.1865,3.7466
fCMR_Philips_002,13,2.4002,2.533,0.2761,0.6424,0.2939,2.1014
fCMR_Philips_052,13,1.4451,2.3478,0.1811,0.6546,0.2126,2.1846
fCMR_Philips_123,13,0.7235,2.4725,0.0806,0.4088,0.1098,3.1074
fCMR_Philips_079,13,1.9074,1.1868,0.0843,0.5873,0.1282,1.9062
fCMR_Philips_041,13,1.176,2.9138,0.1033,1.7438,0.1576,4.4543
fCMR_Philips_090,13,2.253,0.9411,0.1235,0.851,0.1369,2.1539
fCMR_Philips_114,13,1.9991,2.0996,0.1739,1.2053,0.206,2.7184
fCMR_Philips_065,13,0.9794,3.5949,0.0583,0.1756,0.1208,1.2342
fCMR_Philips_132,13,2.8451,3.2763,0.2501,3.6352,0.2559,7.7964
fCMR_Philips_031,13,1.8275,2.1036,0.0943,0.7493,0.1202,2.1261
fCMR_Philips_104,13,1.7933,1.8137,0.0483,1.3618,0.1125,3.8418
fCMR_Philips_094,13,2.4258,2.8762,0.1309,0.5709,0.1516,2.4454
fCMR_Philips_136,13,1.7275,1.9008,0.1481,0.2038,0.1549,1.2979
fCMR_Philips_087,13,1.7687,2.7078,0.4287,1.5165,0.4371,3.6302
fCMR_Philips_003,13,3.0574,2.0044,0.147,0.259,0.1637,0.8955
fCMR_Philips_047,13,2.6144,3.0524,0.1818,0.8978,0.2168,2.6855
fCMR_Philips_057,13,2.7747,2.9518,0.28,0.9105,0.2861,2.3256
fCMR_Philips_097,13,2.5366,3.1238,0.4369,0.1966,0.4722,0.7472
fCMR_Philips_070,13,2.1055,2.9712,0.3712,1.5083,0.3792,4.1528
fCMR_Philips_068,13,2.2743,3.8973,0.2452,0.7526,0.2795,2.0882
fCMR_Philips_117,14,3.0802,3.0268,0.1211,0.7677,0.143,2.3014
fCMR_Philips_002,14,1.6238,1.2684,0.1827,1.2485,0.1952,3.0394
fCMR_Philips_052,14,2.1522,2.9904,0.2353,0.5131,0.2509,2.0674
fCMR_Philips_123,14,2.3391,2.3146,0.1478,0.3444,0.176,1.5206
fCMR_Philips_079,14,3.0659,1.6951,0.0926,0.4528,0.1052,1.8653
fCMR_Philips_041,14,2.9379,3.2504,0.1044,0.5143,0.1307,1.4698
fCMR_Philips_090,14,3.0427,1.259,0.1369,0.8123,0.1751,1.8453
fCMR_Philips_114,14,2.0591,2.1164,0.1255,1.9562,0.2116,4.6065
fCMR_Philips_065,14,2.8876,3.0975,0.0553,0.5635,0.0857,1.7829
fCMR_Philips_132,14,1.9143,1.6371,0.2006,5.9603,0.2099,12.6171
fCMR_Philips_031,14,3.0643,2.4084,0.1787,1.0972,0.1949,2.8021
fCMR_Philips_104,14,2.7073,1.3698,0.0859,1.3524,0.1238,3.4084
fCMR_Philips_094,14,0.8531,1.9193,0.0924,0.6298,0.1272,2.2514
fCMR_Philips_136,14,2.4294,2.4157,0.1008,0.576,0.126,2.04
fCMR_Philips_087,14,1.765,2.0651,0.2914,1.5842,0.2989,3.6211
fCMR_Philips_003,14,1.871,3.288,0.1935,0.3992,0.204,1.6046
fCMR_Philips_047,14,2.5158,3.0914,0.2992,0.3908,0.3087,1.5562
fCMR_Philips_057,14,2.696,1.7515,0.2204,0.6498,0.2342,1.8974
fCMR_Philips_097,14,1.8818,1.3882,0.2858,0.5162,0.3497,2.1932
fCMR_Philips_070,14,3.0189,2.6191,0.327,0.7176,0.3413,2.2395
fCMR_Philips_068,14,2.6007,1.6257,0.232,0.6123,0.2437,1.7516
fCMR_Philips_117,15,2.9295,2.0472,0.1726,0.6059,0.2234,1.4808
fCMR_Philips_002,15,2.8438,2.9065,0.1657,0.4991,0.1851,1.4628
fCMR_Philips_052,15,2.37,2.4447,0.166,0.7204,0.1969,2.1758
fCMR_Philips_123,15,2.9264,3.3548,0.1101,0.5794,0.1578,1.7966
fCMR_Philips_079,15,0.9751,3.172,0.1569,0.3126,0.197,1.7002
fCMR_Philips_041,15,2.8523,2.0041,0.0755,0.6227,0.1164,1.9558
fCMR_Philips_090,15,2.8915,3.4231,0.093,0.8175,0.1926,3.4348
fCMR_Philips_114,15,1.8111,2.6683,0.0938,2.1109,0.1269,5.2373
fCMR_Philips_065,15,1.8857,2.1506,0.0552,1.3271,0.1179,3.5016
